ts_iso,range_vector,machineid,prom_count,sketch_count,prom_sum,sketch_sum,prom_l1,sketch_l1,prom_l2,sketch_l2,prom_distinct,sketch_distinct,prom_entropy,sketch_entropy,sketch_min,sketch_max,requested_mint,requested_maxt,adjusted_mint,adjusted_maxt,range_ms,prom_count_latency_ms,prom_sum_latency_ms,prom_l1_latency_ms,prom_l2_latency_ms,prom_distinct_latency_ms,prom_entropy_latency_ms,sketch_count_local_ms,sketch_count_server_ms,sketch_sum_local_ms,sketch_sum_server_ms,sketch_l1_local_ms,sketch_l1_server_ms,sketch_l2_local_ms,sketch_l2_server_ms,sketch_distinct_local_ms,sketch_distinct_server_ms,sketch_entropy_local_ms,sketch_entropy_server_ms,count_func_prom_used,count_func_sketch_used,sum_func_prom_used,sum_func_sketch_used,l1_func_prom_used,l1_func_sketch_used,l2_func_prom_used,l2_func_sketch_used,distinct_func_prom_used,distinct_func_sketch_used,entropy_func_prom_used,entropy_func_sketch_used
2025-09-04T11:01:27.217147+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:30.112413+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:32.706555+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:35.346306+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:37.854768+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:40.408389+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:42.947719+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:45.448006+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:48.017400+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:50.562932+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:53.175071+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:55.745379+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:01:58.274192+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:00.867644+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:03.375735+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:05.929258+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:08.449598+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:11.055272+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:13.601911+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:16.139555+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:18.699918+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:21.221878+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:23.858317+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:26.405118+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:28.941005+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:31.506236+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:34.019549+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:36.527212+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:39.155561+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:41.711614+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:44.230915+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:46.760236+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:49.261468+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:51.789062+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:54.288745+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:56.796981+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:02:59.289571+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:03:01.790858+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
2025-09-04T11:03:04.298536+00:00,"fake_machine_metric{machineid=""machine_0""}[300s]",machine_0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,,,,,,,,,,,,
